Date,Time,Team/Bet,League,Wager,Odds,Return
04/11/2024,19:05:20,LA Kings -1.5,NHL,20.0,2.35,47.0
04/11/2024,18:45:35,WAS Capitals,NHL,10.0,3.1,0.0
04/11/2024,18:21:57,Under 7.5 / Under 8.5,NHL,15.0,Round Robin,0.0
04/11/2024,17:46:13,WAS Capitals,NHL,24.79,2.15,0.0
04/11/2024,17:46:26,NY Islanders -1.5,NHL,20.0,2.15,0.0
04/11/2024,17:45:00,NJ Devils,NHL,15.0,2.7,40.5
04/10/2024,22:11:43,LA Clippers +13.5,NBA,22.4,1.86,0.0
04/10/2024,21:24:48,Any Other Score,NHL,15.0,7.5,0.0
04/10/2024,16:30:27,BOS Red Sox -1.5 / NY Yankees -1.5,MLB,20.0,Round Robin,0.0
04/10/2024,16:09:25,Over 18,MLB,40.0,1.86,74.79
04/10/2024,16:02:34,Over 5.5 / Over 6.0,NHL,20.0,Round Robin,37.4
04/10/2024,15:48:59,CLE Guardians -1.5 / SD Padres -1.5,MLB,15.63,Round Robin,0.0
04/09/2024,19:58:21,DAL Stars,NHL,10.0,2.0,20.0
04/09/2024,19:33:56,BOS Celtics +16.5,NHL,20.0,1.86,37.4
04/09/2024,17:45:19,Over 6.5,NHL,20.0,2.2,0.0
04/09/2024,16:57:59,NY Islanders / PHI Flyers,NHL,Varies,Early Payout,Varies
04/09/2024,16:54:28,WAS Capitals,NHL,20.0,2.3,46.0
04/09/2024,16:52:30,Over 79.5,NBA,41.75,1.86,0.0
04/09/2024,16:51:57,TB Lightning -1.5,NHL,20.0,1.74,0.0
04/09/2024,16:51:57,TB Lightning -1.5 / COL Avalanche,NHL,20.0,Round Robin,52.23
04/08/2024,21:12:26,VAN Canucks,NHL,15.0,2.45,36.75
04/08/2024,20:40:28,VAN Canucks -1.5,NHL,20.0,3.05,0.0
04/08/2024,20:11:38,Brady Tkachuk / Matthew Tkachuk / Sergei Bobrovsky,NHL,20.0,Same Game Parlay,20.0
04/08/2024,20:11:38,Sidney Crosby (PIT Penguins),NHL,10.0,7.0,0.0
04/08/2024,18:41:39,TOR Maple Leafs,NHL,12.0,2.5,30.0
04/08/2024,17:33:09,Over 6.5 / Over 6.0,NHL,20.0,Round Robin,0.0
04/07/2024,21:50:22,COL Avalanche,NHL,7.4,2.55,0.0
04/07/2024,20:39:12,NAS Predators,NHL,20.0,1.86,37.4
04/07/2024,19:51:16,Over 7.5,NHL,20.0,3.1,62.0
04/07/2024,16:44:42,Same Game Parlay - MON Canadiens,NHL,10.0,11.0,0.0
04/07/2024,16:11:33,WAS Capitals -1.5 / NAS Predators -1.5,NHL,10.0,Round Robin,0.0
04/07/2024,16:10:08,WAS Capitals -1.5 / NAS Predators -1.5,NHL,10.0,Round Robin,0.0
04/07/2024,15:14:27,Over 4.5,NHL,17.0,2.05,0.0
04/07/2024,14:33:03,CHI Blackhawks,NHL,10.0,2.7,0.0
04/07/2024,14:31:05,Over 6.0,NHL,20.0,1.95,0.0
04/07/2024,10:09:35,Same Game Parlay - BUF Sabres,NHL,10.0,6.0,60.0
04/07/2024,10:01:20,DET Red Wings -1.5,NHL,30.0,2.9,87.0
04/06/2024,17:40:51,MON Canadiens / Over 6.5,NHL,33.0,Round Robin,0.0
04/06/2024,15:52:21,DAL Stars,NHL,20.0,5.5,0.0
04/06/2024,15:13:47,Over 4.5,NHL,45.0,2.0,90.0
04/06/2024,14:49:06,BOS Bruins,NHL,60.0,2.55,153.0
04/06/2024,13:37:22,TB Lightning +2.5,NHL,60.0,3.25,195.0
04/11/2024,18:21:57,Under 7.5 / Under 8.5,NHL,15.0,Round Robin,0.0
04/11/2024,17:55:45,LA Kings -1.5,NHL,20.0,2.35,47.0
04/11/2024,17:55:09,NJ Devils,NHL,15.0,2.7,40.5
04/11/2024,19:44:02,Over 5.5,NHL,20.0,2.3,0.0
04/11/2024,19:44:02,DAL Stars,NHL,20.0,2.15,0.0
04/11/2024,18:45:35,WAS Capitals,NHL,10.0,3.1,0.0
04/12/2024,22:25:49,GS Warriors,NBA,50.0,3.9,0.0
04/12/2024,16:41:18,Under 6.0,NHL,20.0,1.83,0.0
04/12/2024,16:28:25,Same Game Parlay - COL Rockies at TOR Blue Jays,MLB,20.0,2.25,0.0
04/12/2024,23:42:43,UTA Jazz,NBA,27.5,2.4,66.0